🕘️更新时间,#genre#
Freeform,http://192.168.3.53:8080/hls/-6606953741475552554.m3u8
Comedy Central,http://192.168.3.53:8080/hls/8588806149040249118.m3u8
CMT,http://192.168.3.53:8080/hls/6744086977808063732.m3u8
BET,http://192.168.3.53:8080/hls/9125537968935906297.m3u8
VH1,http://192.168.3.53:8080/hls/8935471664440554532.m3u8
Hallmark Channel,http://192.168.3.53:8080/hls/-9139780813972744639.m3u8
Hallmark Family,http://192.168.3.53:8080/hls/-1860483688453101279.m3u8
Hallmark Mystery,http://192.168.3.53:8080/hls/-5141307734860715161.m3u8
Lifetime,http://192.168.3.53:8080/hls/-2967730361111632834.m3u8
MeTV,http://192.168.3.53:8080/hls/-7275747369497352974.m3u8
TV Land,http://192.168.3.53:8080/hls/5730222979366983002.m3u8
Bounce,http://192.168.3.53:8080/hls/799928516485150065.m3u8
GRIT,http://192.168.3.53:8080/hls/3902582418732904100.m3u8
Oxygen True Crime,http://192.168.3.53:8080/hls/-8323141134038938788.m3u8
Ovation,http://192.168.3.53:8080/hls/-663831257392275777.m3u8
Court TV,http://192.168.3.53:8080/hls/2778229100951115422.m3u8
Investigation Discovery,http://192.168.3.53:8080/hls/-2297401578381992523.m3u8
LMN,http://192.168.3.53:8080/hls/7848340519554436935.m3u8

美国儿童,#genre#
Cartoon Network,http://192.168.3.53:8080/hls/-3425946074217687581.m3u8
Nickelodeon,http://192.168.3.53:8080/hls/6751252136510869684.m3u8
Nick Jr.,http://192.168.3.53:8080/hls/-1398804154179477558.m3u8
Nicktoons,http://192.168.3.53:8080/hls/1068349383489450718.m3u8
Disney Channel,http://192.168.3.53:8080/hls/339629331668884336.m3u8
Disney XD,http://192.168.3.53:8080/hls/-488652447010389648.m3u8
Disney JR,http://192.168.3.53:8080/hls/-7883534843561034973.m3u8
Boomerang,http://192.168.3.53:8080/hls/-5145638481126069679.m3u8
Adult Swim,http://192.168.3.53:8080/hls/819384192029307934.m3u8

英国新闻,#genre#
BBC News UK,http://192.168.3.53:8080/hls/-2073672720109472177.m3u8
BBC News International,http://192.168.3.53:8080/hls/8471496252769418715.m3u8
Sky News,http://192.168.3.53:8080/hls/4746545600195626009.m3u8
ITV1 UK,http://192.168.3.53:8080/hls/5090369016857942852.m3u8

英国体育,#genre#
Sky Sports Main Event UK,http://192.168.3.53:8080/hls/8108200607949599840.m3u8
Sky Sports Premier League UK,http://192.168.3.53:8080/hls/6595871950756551079.m3u8
Sky Sports Football UK,http://192.168.3.53:8080/hls/4947226316718965257.m3u8
Sky Sports F1 UK,http://192.168.3.53:8080/hls/-6757204869439293678.m3u8
Sky Sports Cricket UK,http://192.168.3.53:8080/hls/-3231220889064090450.m3u8
Sky Sports Mix UK,http://192.168.3.53:8080/hls/8758884426806963978.m3u8
Sky Sports Golf UK,http://192.168.3.53:8080/hls/-4710603544535876272.m3u8
Sky Sports Racing UK,http://192.168.3.53:8080/hls/7128527582703533653.m3u8
Sky Sports Action UK,http://192.168.3.53:8080/hls/1372957926084169270.m3u8
Sky Sports Tennis UK,http://192.168.3.53:8080/hls/-8698451440102895399.m3u8
Sky Sports+ UK,http://192.168.3.53:8080/hls/2191092214390393005.m3u8
Sky Sports News UK,http://192.168.3.53:8080/hls/-830122368578892084.m3u8
TNT Sports 1 UK,http://192.168.3.53:8080/hls/4254789227245755861.m3u8
TNT Sports 2 UK,http://192.168.3.53:8080/hls/3327965097409583348.m3u8
TNT Sports 3 UK,http://192.168.3.53:8080/hls/1809850354399660687.m3u8
